0,1
0,2
0,3
0,4
0,6
0,8
0,9
0,17
0,23
0,40
0,42
0,55
0,65
0,67
0,69
0,73
0,77
0,79
0,96
0,97
1,4
1,7
1,12
1,21
1,31
1,36
1,41
1,48
1,55
1,56
1,59
1,68
1,70
1,78
1,91
1,94
2,4
2,5
2,12
2,14
2,20
2,29
2,30
2,31
2,47
2,56
2,61
2,63
2,66
2,67
2,88
2,97
3,5
3,6
3,10
3,11
3,15
3,18
3,23
3,26
3,27
3,49
3,50
3,52
3,54
3,61
3,63
3,65
3,80
3,84
3,85
3,91
3,97
4,5
4,7
4,8
4,13
4,20
4,24
4,36
4,37
4,40
4,44
4,47
4,50
4,60
4,71
4,87
5,6
5,7
5,8
5,11
5,12
5,13
5,14
5,15
5,16
5,30
5,32
5,33
5,35
5,38
5,40
5,43
5,45
5,48
5,49
5,65
5,66
5,72
5,90
5,92
5,96
6,9
6,18
6,60
6,62
6,72
6,99
7,9
7,14
7,17
7,22
7,27
7,28
7,31
7,39
7,93
7,96
8,10
8,18
8,21
8,23
8,33
8,39
8,44
8,50
8,57
9,10
9,11
9,13
9,19
9,27
10,30
10,38
10,42
10,62
10,75
11,16
11,26
11,29
11,86
12,19
12,20
12,38
12,43
12,45
12,69
12,70
12,78
12,92
13,15
13,17
13,21
13,33
13,46
13,48
13,52
14,16
14,26
14,34
15,19
15,22
15,46
15,47
15,56
15,60
15,95
16,75
16,77
17,22
17,37
17,52
17,54
18,24
18,25
18,28
18,81
19,25
19,36
19,43
19,81
20,28
20,44
20,46
20,53
20,66
21,24
22,32
22,58
23,25
23,70
23,95
24,49
24,73
25,84
26,35
26,90
27,32
27,39
27,58
27,69
27,74
28,29
28,55
30,83
31,34
31,35
31,51
31,57
31,75
31,79
31,80
31,85
32,34
34,89
35,37
35,95
36,71
37,41
37,42
37,59
40,41
40,45
40,53
40,73
40,74
40,79
40,94
41,51
41,85
41,99
42,82
42,87
42,88
44,67
44,82
45,57
45,86
46,68
46,94
48,63
49,51
49,54
49,62
49,76
49,88
50,53
50,71
50,86
50,92
51,68
52,64
52,83
53,61
55,74
55,78
55,89
56,58
57,76
58,59
58,64
58,84
61,64
61,72
65,98
67,77
67,80
67,90
68,83
70,91
71,98
72,76
73,81
74,82
74,98
75,89
80,93
82,87
82,93
86,99
